Date,Name,PreOrg,cowgirl,doggy,kinky,missionary,reversecowgirl,standing,HerRanking,MyRanking,OurRanking
2009-10-06 00:00:00,J1,0,True,False,False,True,True,False,0,10,5
2009-10-08 00:00:00,J1,0,False,True,False,True,False,False,5,1,3
2009-10-10 00:00:00,J1,0,False,False,False,False,False,False,0,1,0.5
2009-10-11 00:00:00,J1,0,False,False,False,True,False,False,2,1,1.5
2009-10-12 00:00:00,J1,1,False,True,False,True,False,False,10,2,6
2009-10-13 00:00:00,J1,1,True,False,False,True,False,False,3,10,6.5
2009-10-14 00:00:00,J1,4,False,False,False,True,False,False,10,10,10
2009-10-14 12:00:00,J1,1,False,True,False,True,False,False,10,2,6
2009-10-15 00:00:00,J1,0,False,False,False,True,False,False,3,1,2
2009-10-18 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
2009-10-18 12:00:00,J1,1,False,False,False,False,False,False,6,6,6
2009-10-19 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
2009-10-20 00:00:00,J1,1,False,False,False,True,False,False,10,8,9
2009-10-20 12:00:00,J1,1,False,True,False,True,False,False,10,2,6
2009-10-21 00:00:00,J1,1,False,False,False,True,False,False,9,6,7.5
2009-10-21 08:00:00,J1,5,True,False,False,False,False,False,10,10,10
2009-10-21 16:00:00,J1,2,False,True,False,True,False,False,10,9,9.5
2009-10-23 00:00:00,J1,1,False,False,False,True,False,False,10,8,9
2009-10-23 12:00:00,J1,1,False,False,False,True,False,False,9,8,8.5
2009-10-25 00:00:00,J1,0,False,False,False,True,False,False,3,4,3.5
2009-10-25 12:00:00,J1,1,False,False,False,False,False,False,7,5,6
2009-10-27 00:00:00,J1,0,False,True,False,True,False,False,4,0,2
2009-10-27 12:00:00,J1,0,False,False,False,False,False,False,1,0,0.5
2009-10-28 00:00:00,J1,2,False,True,False,True,False,False,10,9,9.5
2009-10-29 00:00:00,J1,0,False,False,False,True,False,False,3,3,3
2009-10-30 00:00:00,J1,0,True,False,False,False,False,False,0,4,2
2009-10-30 12:00:00,J1,1,False,True,False,True,False,False,10,3,6.5
2009-11-01 00:00:00,J1,1,False,False,False,True,True,False,4,10,7
2009-11-02 00:00:00,J1,0,False,True,False,True,False,False,3,0,1.5
2009-11-02 12:00:00,J1,2,False,False,False,True,False,False,10,10,10
2009-11-04 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
2009-11-10 00:00:00,J1,0,False,True,False,False,False,False,1,0,0.5
2009-11-11 00:00:00,J1,0,False,False,False,False,False,False,0,2,1
2009-11-13 00:00:00,J1,0,False,False,False,True,False,False,3,1,2
2009-11-13 12:00:00,J1,0,False,False,False,False,False,False,0,1,0.5
2009-11-15 00:00:00,J1,0,False,False,False,True,False,False,3,2,2.5
2009-11-16 00:00:00,J1,0,False,False,False,False,False,False,0,1,0.5
2009-11-17 00:00:00,J1,1,False,True,False,True,False,False,10,2,6
2009-11-18 00:00:00,J1,1,True,True,False,True,False,False,3,6,4.5
2009-11-23 00:00:00,J1,1,False,False,False,True,False,False,10,9,9.5
2009-11-24 00:00:00,J1,1,False,False,False,True,False,False,8,10,9
